Seq,CR_No,Comp_Name_Eng,Comp_Name_Chi,Replaced_Name_Eng,Replaced_Name_Chi,Replaced_Eff_date
1375,"1677676","XIMENG ELECTRIC APPLIANCES GROUP (HK) LIMITED","西蒙電器集團(香港)有限公司","Company Registration Number 1677676 Limited","公司註冊編號 1677676 有限公司"," 19-12-2012"
1376,"1881063","XIMENG ELECTRICITY TECHNOLOGY (GERMANY) LIMITED","西蒙電氣科技(德國)有限公司","Company Registration Number 1881063 Limited","公司註冊編號 1881063 有限公司"," 21-03-2014"
1377,"1858741","XIMENG INT'L ELECTRICITY (SHANGHAI) LIMITED","西蒙國際電氣(上海)有限公司","Company Registration Number 1858741 Limited","公司註冊編號 1858741 有限公司"," 13-02-2014"
1378,"2263145","XIMENG LIGHTING ELECTRICAL APPLIANCES (SHANGHAI) LIMITED","西蒙照明電器(上海)有限公司","Company Registration Number 2263145 Limited","公司註冊編號 2263145 有限公司"," 22-01-2016"
1379,"1707033","XIMENGZI (GERMANY) ELECTRICITY SHARES LIMITED","西門子(德國)電氣股份有限公司","Company Registration Number 1707033 Limited","公司註冊編號 1707033 有限公司"," 09-07-2012"
1380,"1567011","XIMENZI (CHINA) HUTCH CABLE GROUP LIMITED","西門子(中國)廚電集團有限公司","Company Registration Number 1567011 Limited","公司註冊編號 1567011 有限公司"," 14-11-2011"
1381,"1629374","XIMENZI (SHANGHAI) ELECTRIC LIMITED","西門子(上海)電氣有限公司","Company Registration Number 1629374 Limited","公司註冊編號 1629374 有限公司"," 05-01-2012"
1382,"1628137","XIMENZI ELECTRICAL (GERMANY) GROUP CO., LIMITED","西門子電器(德國)集團有限公司","Company Registration Number 1628137 Limited","公司註冊編號 1628137 有限公司"," 03-01-2012"
1383,"1968016","XIMENZI ELECTRICITY (GUANGDONG) LIMITED","西門子電氣(廣東)有限公司","Company Registration Number 1968016 Limited","公司註冊編號 1968016 有限公司"," 10-04-2014"
1384,"1582387","XIMENZI LIFE ELECTRICAL (CHINA) CO., LIMITED","西門子生活電器(中國)有限公司","Company Registration Number 1582387 Limited","公司註冊編號 1582387 有限公司"," 19-12-2011"
1385,"2112210","XIMENZI LIGHTING (TAIWAN) CO., LIMITED","西門子照明(臺灣)有限公司","Company Registration Number 2112210 Limited","公司註冊編號 2112210 有限公司"," 13-11-2014"
1386,"1923938","XIMENZI LIGHTING ELECTRICAL (CHINA) LIMITED","西門子照明電器（中國）有限公司","Company Registration Number 1923938 Limited","公司註冊編號 1923938 有限公司"," 16-12-2013"
1387,"2078185","XIMENZI MOTOR (GROUP) CO., LIMITED","西門子電機(集團)有限公司","Company Registration Number 2078185 Limited","公司註冊編號 2078185 有限公司"," 22-09-2014"
1388,"2105679","XINHUARUN (HK) PETROCHEMICAL INDUSTRY LIMITED","鑫華潤(香港)石油化工有限公司","XINHUARUN (HK) PETROCHEMICAL INDUSTRY LIMITED","公司註冊編號 2105679 有限公司"," 17-07-2015"
1389,"2067702","XINKAI TRADE LIMITED","信凱貿易有限公司","XINKAI TRADE LIMITED","公司註冊編號 2067702 有限公司"," 26-10-2018"
1390,"2258181","XINXIULI (INT'L) LUGGAGE LEATHER LIMITED","新秀麗(國際)箱包皮具有限公司","Company Registration Number 2258181 Limited","公司註冊編號 2258181 有限公司"," 22-09-2016"
1391,"2687634","XIUZHENG GROUP CO., LIMITED","修正集團股份有限公司","Company Registration Number 2687634 Limited","公司註冊編號 2687634 有限公司"," 25-01-2019"
1392,"1689282","XMZ ELECTRIC (GERMANY) GROUP LIMITED","西門子電氣(德國)集團有限公司","XMZ ELECTRIC (GERMANY) GROUP LIMITED","公司註冊編號 1689282 有限公司"," 14-05-2012"
1393,"1600470","XMZ INTERNATIONAL ELECTRICIAN (GERMANY) INVESTMENT LIMITED","西門子國際電工(德國)投資有限公司","XMZ INTERNATIONAL ELECTRICIAN (GERMANY) INVESTMENT LIMITED","公司註冊編號 1600470 有限公司"," 03-01-2012"
1394,"1666214","XMZ KITCHEN TOILET ELECTRIC APPLIANCES (CHINA) GROUP LIMITED","西門子廚衛電器(中國)集團有限公司","XMZ KITCHEN TOILET ELECTRIC APPLIANCES (CHINA) GROUP LIMITED","公司註冊編號 1666214 有限公司"," 13-02-2012"
